pc_1,pc_2,batch,cell_line,molecular_subtype,receptor_status,sample,tmt_label
5672.152929864001,-2465.017241163911,batch7,184A-1,"Non malignant, Basal",NM,184A-1,default~rq_128c_sn_sum
10694.723138703746,-4582.79065439505,batch6,184A-1 (repeat),"Non malignant, Basal",NM,184A-1 (repeat),default~rq_129c_sn_sum
4101.595757305776,-3306.548332505721,batch7,184B5,"Non malignant, Basal",NM,184B5,default~rq_129n_sn_sum
-5591.7285815582345,3429.568979176083,batch7,AU-565,Luminal,Her2amp,AU-565,default~rq_130c_sn_sum
875.840232053635,274.7840568060573,batch1,Bridge1,Bridge,Bridge,Bridge1,Set1~rq_131_sn_sum
3112.600505526427,1010.9056448788399,batch2,Bridge2,Bridge,Bridge,Bridge2,Set2~rq_131_sn_sum
3593.6430476242635,504.9538533489308,batch3,Bridge3,Bridge,Bridge,Bridge3,Set3~rq_131_sn_sum
864.54047553981,1368.063097257182,batch4,Bridge4,Bridge,Bridge,Bridge4,Set4~rq_131_sn_sum
3588.1280319838215,4778.702837857162,batch6,Bridge6,Bridge,Bridge,Bridge6,default~rq_131C_sn_sum
-191.7846847259375,6409.763088956087,batch7,Bridge7,Bridge,Bridge,Bridge7,default~rq_131c_sn_sum
-2763.8153584386373,-793.5552215107299,batch5,BT-474,Luminal,Her2amp,BT-474,default~rq_127c_sn_sum
-4282.791103189159,-938.2058092898634,batch5,BT-483,Luminal,HR+,BT-483,default~rq_128n_sn_sum
-2813.760682566174,1504.7131557500122,batch1,BT20,Basal A,TNBC,BT20,Set1~rq_126_sn_sum
3717.0486813535113,3990.3498143402553,batch3,BT549,Basal B,TNBC,BT549,Set3~rq_126_sn_sum
2326.234634778844,3724.8789450910685,batch2,CAL120,Basal B,TNBC,CAL120,Set2~rq_130c_sn_sum
1684.8547243670425,2200.185422692046,batch2,CAL51,Basal B,TNBC,CAL51,Set2~rq_129c_sn_sum
4570.8532943530645,-2785.120550390649,batch2,CAL85-1,Basal B,TNBC,CAL85-1,Set2~rq_130n_sn_sum
-5381.648750918159,-151.7140525051743,batch4,CAMA1,Luminal,HR+,CAMA1,Set4~rq_126_sn_sum
2616.383244006373,3103.742373746423,batch8,COV362,ovarian,ovarian,COV362,default~rq_129n_sn_sum
-1409.9673844641554,-492.20043572802655,batch5,EFM-19,Luminal,HR+,EFM-19,default~rq_128c_sn_sum
-2736.978364902333,1098.2252198944338,batch6,EFM-19 (repeat),Luminal,HR+,EFM-19 (repeat),default~rq_131_sn_sum
-2325.4410129041503,778.0078986964285,batch5,EVSA-T,Luminal,HR+,EVSA-T,default~rq_129n_sn_sum
-2379.9101251600723,857.8687519585908,batch6,EVSA-T (repeat),Luminal,HR+,EVSA-T (repeat),default~rq_128n_sn_sum
994.6434390104654,1210.9629922210597,batch4,HCC1143,Basal A,TNBC,HCC1143,Set4~rq_127n_sn_sum
