Uniprot_Id,Gene_Symbol,Description,Group_ID,Set5 Peptides,Collapsed,Parsimony,MCF10A (repeat 3),MDA-MB-175VII,BT-474,BT-483,EFM-19,EVSA-T,HCC1187,MDA-MB-415,PDX1206,Old Bridge5,New Bridge5,Uniprot_Id_prefix
P55011,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,40,C,UR,186.1665101203716,102.31276183054088,83.17321201046256,51.253897835252644,74.29065717916902,85.40655018476352,103.7817452822262,336.143520349961,82.30959685609866,115.51075,119.42121918464753,P55011
O60341,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,1,79,C,UR,78.91409068211598,93.19241583626682,182.34656023526148,150.40782117276945,153.74452229514594,143.67465131582514,170.59332063253464,67.25755928366151,157.16136635325873,99.25164556962025,88.0838205399608,O60341
O14654,IRS4,IRS4_HUMAN Insulin receptor substrate 4,3,21,C,UR,16.120866081101035,19.039833340300124,15.786662730384922,18.457656594925783,35.5842799841498,14.337652754882207,850.9774469371894,23.6603802054063,22.097491425281863,11.823238095238095,18.701427040256217,O14654
Q99453,PHOX2B,PHX2B_HUMAN Paired mesoderm homeobox protein 2B,4,2,C,UR,270.7457892892701,14.943661677144599,123.54141139692918,145.6788754294906,229.87208943445444,224.33406920895231,179.65196439405608,163.31407444534565,203.846128443701,25.9822,188.83326927595016,Q99453
P37108,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,5,22,C,UR,190.6350946511394,137.86437829553046,184.29379998439612,118.85916395895265,198.83682879277515,137.2075122424395,123.08158143716199,146.40141738600448,181.7067962936087,143.4,147.88601077367676,P37108
Q96JP5,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,6,12,C,UR,84.71477431480257,64.29561971645428,128.84179909979912,55.488259189365564,103.16279241529614,75.06949028392552,88.06964794332245,62.81537697423109,59.71306512875662,75.61566666666667,85.9440908020489,Q96JP5
Q96CK0,ZNF653,ZN653_HUMAN Zinc finger protein 653,6,3,C,UR,146.94193883175484,152.1866462887754,264.1436631519552,101.05792381140051,183.4470145911979,150.8543774015176,220.62570966504688,103.32436768388048,114.4728758232969,55.061333333333344,164.97685693663803,Q96CK0
Q92508,PIEZO1,PIEZ1_HUMAN Piezo-type mechanosensitive ion channel component 1,6,25,C,UR,219.64476283401052,89.36475951880249,52.96120090591817,153.8102086381739,122.63619977488855,67.08535209750069,71.42467719461207,62.291180084742564,36.19880551839411,149.3152,107.54916773279896,Q92508
Q8N697,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,7,10,C,UR,214.80463171979721,113.79823099020177,86.51616391710542,62.6326911714307,97.4175082120813,53.65715882981207,67.06908387296873,33.55561393135702,149.04045732614532,124.65899999999999,114.69920731857418,Q8N697
Q9NYV4-2,CDK12,CDK12_HUMAN Isoform 2 of Cyclin-dependent kinase 12,8,53,C,UR,98.79016634533585,57.8146669900828,231.80103986580346,59.8164028361278,114.06274072878294,100.91137235189112,60.105780309644544,49.921927484723426,318.6652757371859,84.98094339622641,114.8793818914556,Q9NYV4
A8MW92,PHF20L1,P20L1_HUMAN PHD finger protein 20-like protein 1,8,15,C,UR,152.97571765988516,132.8929204663574,154.92890449518939,159.06593256000178,129.90164779023064,75.53884984879097,171.71718460698168,96.09292026013993,124.70024327856144,154.97133333333335,161.0489770255484,A8MW92
Q14004,CDK13,CDK13_HUMAN Cyclin-dependent kinase 13,8,49,C,UR,114.09784893330395,86.44445394358063,166.75536746708974,79.03347770306256,116.12615780403775,94.19515601788663,113.20212109351286,54.813190745300396,107.04770735274452,84.54938775510205,97.91340430977618,Q14004
P24941,CDK2,CDK2_HUMAN Cyclin-dependent kinase 2,8,24,C,UR,103.39188027257802,126.74127339298992,189.62503962032545,161.06613512590297,238.48208306728543,259.2406587232563,219.20453470247497,88.39488995659283,110.37609355439159,133.50666666666666,138.01177449243,P24941
P07947,YES1,YES_HUMAN Tyrosine-protein kinase Yes,8,26,C,UR,172.30217894529835,53.29379090931006,115.6953919506687,73.49407942927041,71.95299098976427,126.14624741199778,112.47929009862854,47.61847845606933,161.3573758667919,110.01576923076922,93.97347912549166,P07947
P12931-2,SRC,SRC_HUMAN Isoform 2 of Proto-oncogene tyrosine-protein kinase Src,8,26,C,UR,106.92753428589053,92.45701044623405,22.825200910409926,292.7790680612092,180.27748472659218,34.136744590169044,73.90416168958734,221.5368500510473,53.07367201508782,77.06269230769232,65.05187038914326,P12931
P50750-2,CDK9,CDK9_HUMAN Isoform 2 of Cyclin-dependent kinase 9,8,22,C,UR,99.63477646180996,51.06102630207185,83.15699158971324,126.7218840810061,101.91030976933922,79.61495828985474,64.74354236263085,57.830744758372106,102.31312437889554,61.070454545454545,60.98700963604045,P50750
Q00534,CDK6,CDK6_HUMAN Cyclin-dependent kinase 6,8,14,C,UR,59.097859733446946,36.42090855922295,38.97907170975959,33.65071503612697,27.02513712258179,639.8811385885645,233.30817027798747,56.86645124866948,39.58945045629215,102.62,116.86700140356285,Q00534
P22455,FGFR4,FGFR4_HUMAN Fibroblast growth factor receptor 4,8,8,C,UR,10.760364840282566,8.119866942484293,85.09960159003909,163.53416804652264,20.040568035949278,399.05963642107895,22.668660052610626,190.68492342472092,88.72980951684201,38.775749999999995,24.968934660148417,P22455
P08581,MET,MET_HUMAN Hepatocyte growth factor receptor,8,28,C,UR,383.53785755071476,11.3216550239624,24.610138083755263,15.120256424754885,12.490080244755049,69.89935566510279,35.48767702742749,35.95758460990382,12.578189646102887,243.13392857142858,250.6910557282482,P08581
P06493,CDK1,CDK1_HUMAN Cyclin-dependent kinase 1,8,40,C,UR,115.50681029188034,115.75419508429954,134.0113089416555,55.57248342939735,164.53258152577953,117.51653549153448,263.3080125298907,73.95514808912371,112.73798752682323,147.0245,170.43645266182935,P06493
Q00535,CDK5,CDK5_HUMAN Cyclin-dependent kinase 5,8,20,C,UR,37.68787295717513,122.3343942906765,140.14384790512165,264.8463242861673,60.5560559558988,77.73413131651137,120.10907752497907,107.83550773143132,64.8584730916648,81.986,87.63676380496256,Q00535
Q13188,STK3,STK3_HUMAN Serine/threonine-protein kinase 3,8,31,C,UR,103.6348902526047,133.2619665949526,189.59889344086406,163.389305849109,139.56286641346722,211.25359458595594,174.9168143261131,83.51828677644062,58.18594856839668,140.64161290322582,135.1612111521699,Q13188
Q13043,STK4,STK4_HUMAN Serine/threonine-protein kinase 4,8,13,C,UR,111.99861056781891,141.64909203580234,331.8002278961022,151.24142614867532,128.57798317205092,76.64373582050352,109.95586713597038,120.31341526357127,57.049911040867265,145.26846153846154,149.06758916840926,Q13043
Q00526,CDK3,CDK3_HUMAN Cyclin-dependent kinase 3,8,6,C,UR,76.85919703055944,96.66526550240874,152.33917952890621,100.99389368739973,170.95330991513404,127.69026392174122,204.6944820660799,71.69337038230161,93.09057687306898,102.23966666666666,119.01866230509337,Q00526
P11802,CDK4,CDK4_HUMAN Cyclin-dependent kinase 4,8,18,C,UR,55.41485457792642,101.2701409700756,154.54521699378765,172.07083383077153,126.83028859053906,118.54053977531385,351.50131771047853,146.85588486147012,74.6900272902229,123.71388888888889,119.3487174230883,P11802
Q00537,CDK17,CDK17_HUMAN Cyclin-dependent kinase 17,8,4,C,UR,169.64145081267324,96.62414625724038,63.50997307042745,120.86720237918958,131.33663263402516,146.34458166046574,111.13613902322629,129.0748436128524,178.60341743351458,154.0875,148.11446061076904,Q00537
P07948,LYN,LYN_HUMAN Tyrosine-protein kinase Lyn,8,17,C,UR,486.79432757409666,22.5410638576453,17.261552228940857,26.09381109437633,13.01891462097212,19.145770685820953,82.15733942422865,132.62749371208133,17.12865044206679,211.97058823529412,205.89002617991108,P07948
Q04912,MST1R,RON_HUMAN Macrophage-stimulating protein receptor,8,16,C,UR,222.53676919066658,82.18229136835947,20.563562656083327,74.04899138409077,121.86651916657534,20.793061389687924,21.549361313090255,50.4148589875994,121.14117036015496,64.845,79.71253161452847,Q04912
P21802-11,FGFR2,FGFR2_HUMAN Isoform 11 of Fibroblast growth factor receptor 2,8,2,C,UR,48.58061298934428,20.600933825820665,25.116422403933885,39.47245352699277,727.6103843390077,28.870930040537655,19.028054482774117,495.255328923133,59.557895812174024,57.893,76.07489095200177,P21802
O15111,CHUK,IKKA_HUMAN Inhibitor of nuclear factor kappa-B kinase subunit alpha,8,18,C,UR,70.58368897596445,194.0913703713178,145.539494810628,88.06659473785486,131.75564911049383,164.84691154742268,192.69705348775668,151.83545331621977,76.3458241642082,143.10555555555555,129.4323083148524,O15111
Q9UPZ9,ICK,ICK_HUMAN Serine/threonine-protein kinase ICK,8,2,C,UR,44.35041378379854,116.11370848466252,110.3305338389509,126.55455500870474,47.66717228536986,187.14990845389977,32.26355430935484,135.64324337711955,91.26569366046293,65.6295,76.45646766845213,Q9UPZ9
O76039,CDKL5,CDKL5_HUMAN Cyclin-dependent kinase-like 5,8,1,C,UR,49.16120459574085,163.10484586188224,68.23723170978302,52.21745269358126,69.69621931914868,56.90115647472878,61.25359642004611,55.51963808715295,72.42238552767311,67.3754,70.35094517170255,O76039
P42685,FRK,FRK_HUMAN Tyrosine-protein kinase FRK,8,13,C,UR,68.02718352497283,76.28389195378213,126.18639307259446,132.54538769339518,57.80220747139671,22.834864782248538,65.32474597721604,180.9990020039917,156.56422197743936,75.79069230769231,62.555205763248814,P42685
P11362-21,FGFR1,FGFR1_HUMAN Isoform 21 of Fibroblast growth factor receptor 1,8,3,C,UR,41.35658231561529,94.2501098377539,167.83279891841056,491.3212012365254,42.53941868855457,175.19084973060345,530.483124116082,14.991722332972033,50.19234268619188,145.036,217.69803992619765,P11362
Q00536-2,CDK16,CDK16_HUMAN Isoform 2 of Cyclin-dependent kinase 16,8,18,C,UR,95.220147647892,108.25241279555013,133.46228459811263,90.0296379411949,98.78911061200526,116.17751697046019,87.29183856779579,124.51997015861228,158.63870963557602,124.80611111111112,118.01068566680684,Q00536
O94921,CDK14,CDK14_HUMAN Cyclin-dependent kinase 14,8,5,C,UR,44.58646059061041,17.91899265858402,78.79490025547766,35.293798380760535,37.606142410621274,235.49286196967535,174.41914341937553,220.04793533643098,38.5272920629632,58.6518,53.727575188445044,O94921
P36578,RPL4,RL4_HUMAN 60S ribosomal protein L4,9,91,C,UR,259.0707940106163,118.36899191927877,127.82738189385452,124.14807778787996,172.18836741056768,217.87062946022982,168.0993695054002,139.43005540609215,182.88137447452073,164.9010989010989,192.3705161295793,P36578
Q92945,KHSRP,FUBP2_HUMAN Far upstream element-binding protein 2,10,111,C,UR,135.70807602568345,112.39145032818163,94.22041838207156,55.3932900466818,159.14988895717437,101.31404056196327,142.25400099962624,54.426552617811986,112.41601163916914,104.4927927927928,99.90650895582148,Q92945
Q96I24,FUBP3,FUBP3_HUMAN Far upstream element-binding protein 3,10,65,C,UR,106.16252351994733,116.78156084018948,140.4926303956844,106.78269680726959,187.0710630113935,114.02048421422899,96.49296646787299,55.31998041603964,110.8362593401681,88.80507692307692,96.35462677160425,Q96I24
Q96AE4-2,FUBP1,FUBP1_HUMAN Isoform 2 of Far upstream element-binding protein 1,10,96,C,UR,188.90048125516023,33.72438091689509,109.45489468149891,96.07730367554393,129.61630839472366,78.42656356235615,98.74401768840406,92.08583988159984,112.4576882926045,93.04812500000001,105.95494578432515,Q96AE4
Q96AE4,FUBP1,FUBP1_HUMAN Far upstream element-binding protein 1,10,11,C,UR,51.726174941146574,15.658185287809001,47.437727446031325,38.58849303819128,42.88753982420572,30.94437362885055,37.51605824593398,36.52643411090952,41.71003231784147,37.89263636363636,40.51498965877819,Q96AE4
Q6SPF0,SAMD1,SAMD1_HUMAN Atherin,11,19,C,UR,68.25802557927743,50.49815510367547,100.96411715368954,68.39298629605251,101.79921141174627,82.50803295515018,66.21299881824292,25.38430210168867,59.17525845138387,61.375789473684215,60.44978507976933,Q6SPF0
O76031,CLPX,"CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",12,51,C,UR,173.13794669962422,92.71152161124161,149.21791308450523,91.35717653020649,159.95800768135004,116.32748179800932,91.69415587258125,83.91741351297247,149.8936758476983,100.28215686274511,112.68680858556627,O76031
Q9ULW3,ABT1,ABT1_HUMAN Activator of basal transcription 1,13,15,C,UR,127.63778578898712,31.856119212832485,58.49253004961452,55.43353806031567,94.66028733364756,91.17407313420158,74.0896351921151,39.28496983301625,90.97918929732366,80.584,92.95064574109702,Q9ULW3
P82914,MRPS15,"RT15_HUMAN 28S ribosomal protein S15, mitochondrial",14,14,C,UR,290.34455816486116,126.6429323411073,217.69153657897033,141.137169480174,179.08822517344043,183.1083549530471,128.08022034008053,114.14994375221305,224.76256721358956,132.29642857142858,145.4487271747939,P82914
A6NIH7,UNC119B,U119B_HUMAN Protein unc-119 homolog B,15,8,C,UR,52.272983060292866,127.69205593934376,140.4609367987671,143.14303624935218,157.03138600038545,85.52474292752036,48.7885614785363,89.99915658611832,123.11390823405976,83.56037500000001,80.20400832598743,A6NIH7
Q13432,UNC119,U119A_HUMAN Protein unc-119 homolog A,15,2,C,UR,48.83922534113191,190.31410637773976,192.4341920890294,229.32438164819783,280.2711115790962,56.28470706076399,245.2869776211381,104.246795829575,83.85257818529455,136.941,158.00570602282755,Q13432
Q9BTD8,RBM42,RBM42_HUMAN RNA-binding protein 42,16,17,C,UR,121.07189437105973,76.76922603086298,119.89269645293797,81.71576576211365,142.0956162610906,103.95088066484952,129.88884407478258,76.42674350909782,83.4253597727892,112.61882352941177,106.05645998114461,Q9BTD8
Q9P258,RCC2,RCC2_HUMAN Protein RCC2,17,81,C,UR,56.49114988686267,67.36717814624798,192.64877533119372,75.50167102189995,150.26408948928,154.47537394817476,264.1447063041152,80.43616182067254,101.88867347054104,102.31864197530864,99.49126015389919,Q9P258
Q9H3U1,UNC45A,UN45A_HUMAN Protein unc-45 homolog A,18,65,C,UR,83.4355441887459,161.12196533881612,119.1853577989108,140.03259300968958,144.8010715355588,126.15116290905661,99.857431591121,117.6364971397786,89.60876302544546,125.69753846153846,119.76168032905373,Q9H3U1
O60518,RANBP6,RNBP6_HUMAN Ran-binding protein 6,19,19,C,UR,108.3735967544296,69.63914267729896,58.81133142906299,86.2887578760915,103.43417329920813,57.72099225996766,82.58190372822,226.35402296330847,87.1052163595918,103.20105263157895,111.8539452318573,O60518
O00410-3,IPO5,IPO5_HUMAN Isoform 3 of Importin-5,19,129,C,UR,72.67821580299957,170.51593958285602,113.86027160827759,106.2136431412291,133.09990666530007,128.22630167431754,246.28293937733736,116.68961463063204,121.82580355483123,122.20930232558139,122.1050066804655,O00410
Q99523,SORT1,SORT_HUMAN Sortilin,20,32,C,UR,47.246609792992416,50.100880291240756,87.18236122159557,152.3091947697711,179.42321323715964,124.20940236239785,43.62470751754879,194.58947217347972,71.42175301291725,83.8215625,93.85385815346805,Q99523
Q9Y2U8,LEMD3,MAN1_HUMAN Inner nuclear membrane protein Man1,21,63,C,UR,197.23203193258087,104.43130198782652,116.079274855563,92.82100735184662,137.6193346248474,152.90120525010275,92.74583393238004,97.35324769383533,127.61486532254679,97.59984126984126,100.65529843615964,Q9Y2U8
P30044,PRDX5,"PRDX5_HUMAN Peroxiredoxin-5, mitochondrial",22,50,C,UR,105.77892101028824,101.96088029007879,426.90502779018027,197.56544014381248,146.84360251390424,166.73089526911397,171.73639162721147,283.24751755868687,211.70354758700788,129.984,143.75647096529903,P30044
Q15596,NCOA2,NCOA2_HUMAN Nuclear receptor coactivator 2,23,18,C,UR,45.66033602893755,134.00980663019092,100.8764583420491,134.09495037212272,46.49408401537678,168.50959689494584,122.10322445251654,67.83990918726488,146.42734466849782,64.045,71.44401166941056,Q15596
Q9Y6Q9,NCOA3,NCOA3_HUMAN Nuclear receptor coactivator 3,23,24,C,UR,99.75193391879472,119.97059768321637,367.1302094721722,141.2697446728166,150.36726496720485,105.99238945137085,83.57543004089014,107.17103398260936,164.23784539178243,143.1425,165.14994328224438,Q9Y6Q9
Q68DK7,MSL1,MSL1_HUMAN Male-specific lethal 1 homolog,24,25,C,UR,88.66965349643417,90.44877161944306,140.4550721452483,96.87935075507085,175.43430549147533,107.26818879191251,74.13729943629743,59.954541075881735,267.1210855096982,87.30879999999999,98.4003742333286,Q68DK7
Q96L91,EP400,EP400_HUMAN E1A-binding protein p400,25,78,C,UR,149.46261351831,90.9777760622818,167.30192161226626,98.28194640782759,121.3217415839698,104.92525296097746,95.78939261260675,80.18881048295013,114.10950751984586,113.13410256410255,114.4165298806011,Q96L91
Q6ZTU2-6,EP400NL,E400N_HUMAN Isoform 5 of EP400 N-terminal-like protein,25,1,C,UR,64.20147141924431,24.259330668126008,37.96726987639997,49.805881207945845,34.76671943010311,32.00554635519871,35.39330292516124,33.53306494212797,32.01382987542185,47.8059,41.986616974490396,Q6ZTU2
P52701,MSH6,MSH6_HUMAN DNA mismatch repair protein Msh6,26,77,C,UR,67.17468555651628,44.21092867363401,156.334390290872,101.29898240943687,204.89371480109833,147.77861384039554,179.97853087329005,105.08707512787527,129.31729895000274,133.14545454545456,124.37592438975585,P52701
P20585,MSH3,MSH3_HUMAN DNA mismatch repair protein Msh3,26,44,C,UR,97.18604668894302,112.49357130365568,112.63839699063467,170.18177104265226,108.1568853326167,136.7511704824625,129.9876994437778,120.44926039333143,212.38463987134136,88.88272727272728,92.92863743079565,P20585
A1X283,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,27,40,C,UR,70.11237075227339,39.27047910640684,68.81823001177605,143.23415604119944,56.44011551727105,45.99132979980445,556.1299563125601,32.42952344916584,77.93756986196288,128.22449999999998,111.222237006692,A1X283
Q5TCZ1,SH3PXD2A,SPD2A_HUMAN SH3 and PX domain-containing protein 2A,27,15,C,UR,114.17316790653733,130.49680445218905,55.88849135270914,110.68674102267632,138.8525433505331,44.69601055961428,442.9871172786194,55.00114555505867,141.54663408144086,143.12133333333335,147.5534871090287,Q5TCZ1
F8WCK5,SH3PXD2A,F8WCK5_HUMAN SH3 and PX domain-containing protein 2A,27,1,C,UR,28.73240788328594,42.06661977726747,26.981382222923305,61.59313748130732,30.727957631765737,50.47436680374221,74.37626303246749,31.96953413540617,25.2491709192348,24.9226,12.588982962911226,F8WCK5
Q9NRL3,STRN4,STRN4_HUMAN Striatin-4,28,29,C,UR,92.51083022434771,144.7991074200852,111.74958461631218,158.45128866057505,170.8732891374557,101.73002538062954,95.17509358305666,104.39668273765855,64.58548709571026,117.52344827586207,111.18491695901571,Q9NRL3
Q13033,STRN3,STRN3_HUMAN Striatin-3,28,32,C,UR,119.78458561256686,170.0221788794474,138.71614025134687,195.4618043006793,228.35185796627607,61.74603550591117,67.85289410403543,139.06856318905437,100.7659515056606,110.5084375,115.40175594438406,Q13033
O43815,STRN,STRN_HUMAN Striatin,28,37,C,UR,135.8737393314864,90.13456160365581,94.33441599895166,104.33662114360273,91.04273656684173,98.50000152781625,112.28788964932878,105.03753403294526,87.22783068442232,128.4862162162162,128.48551348244143,O43815
