Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed	Parsimony	default~rq_126_sn sum	default~rq_127n_sn sum	default~rq_127c_sn sum	default~rq_128n_sn sum	default~rq_128c_sn sum	default~rq_129n_sn sum	default~rq_129c_sn sum	default~rq_130n_sn sum	default~rq_130c_sn sum	default~rq_131_sn sum	default~rq_131c_sn sum
sp|P55011|S12A2_HUMAN	SLC12A2	S12A2_HUMAN Solute carrier family 12 member 2	0	131	C	UR	15271.3	44361.6	12614.3	17278.7	76709.8	10762.7	26072.7	7645.51	8654.63	15985	18120.6
sp|O60341|KDM1A_HUMAN	KDM1A	KDM1A_HUMAN Lysine-specific histone demethylase 1A	1	155	C	UR	25600	25942.4	27661.7	28595.5	21823.3	25185.3	31291	19276.3	19110.6	27061.4	22513.1
##sp|Q9Y651|SOX21_HUMAN	##SOX21	##SOX21_HUMAN ##Transcription factor SOX-21	2	3	C	UR	782.831	464.197	595.849	1168.3	174.435	740.941	1007.48	1462.41	1066.7	463.335	1557.68
sp|Q99453|PHX2B_HUMAN	PHOX2B	PHX2B_HUMAN Paired mesoderm homeobox protein 2B	3	1	C	UR	108.228	74.4499	144.804	129.062	66.4665	91.1807	145.774	173.286	145.501	38.8659	183.968
sp|P37108|SRP14_HUMAN	SRP14	SRP14_HUMAN Signal recognition particle 14 kDa protein	4	61	C	UR	11056.8	15127	11571.6	15014.2	11647.9	10510.3	11888.8	8832.7	12126.8	9961.64	8726.97
sp|Q8N697|S15A4_HUMAN	SLC15A4	S15A4_HUMAN Solute carrier family 15 member 4	5	19	C	UR	3953.75	2236.89	2073.26	2586.68	1993.33	2304.04	3547.15	2955.34	3861.89	5890.64	4958.53
sp|Q9Y4H2|IRS2_HUMAN	IRS2	IRS2_HUMAN Insulin receptor substrate 2	6	15	C	UR	589.312	626.843	395.267	649.837	765.401	1216.7	5437.25	1973.46	1431	1137.72	947.294
sp|Q9NYV4|CDK12_HUMAN	CDK12	CDK12_HUMAN Cyclin-dependent kinase 12	7	92	C	UR	11659.2	9088.14	43645.8	10540	9807.8	13853.9	14159.9	15762.7	15521.9	17551.9	20887.5
sp|A8MW92|P20L1_HUMAN	PHF20L1	P20L1_HUMAN PHD finger protein 20-like protein 1	7	30	C	UR	2493.99	2776.55	3202.97	2945.92	16452.3	7455.7	4045.12	4435.6	3404.46	4242.79	4133.01
sp|P06241|FYN_HUMAN	FYN	FYN_HUMAN Tyrosine-protein kinase Fyn	7	1	C	UR	22.3832	17.9348	12.6928	15.9976	22.6751	48.2867	34.9573	73.9795	46.2138	57.0781	28.7208
sp|P24941|CDK2_HUMAN	CDK2	CDK2_HUMAN Cyclin-dependent kinase 2	7	61	C	UR	4268.5	6392.49	12394.5	9136.18	7379.29	17940.8	12872.3	30937.3	17154.4	11975.5	11492.5
sp|Q14004|CDK13_HUMAN	CDK13	CDK13_HUMAN Cyclin-dependent kinase 13	7	97	C	UR	15372.4	19200	19790	18397.5	13167.2	17616	13126.4	11891.2	12711.6	16691.3	16857.2
sp|Q14004-2|CDK13_HUMAN	CDK13	CDK13_HUMAN Isoform 2 of Cyclin-dependent kinase 13	7	1	C	UR	138.235	203.546	153.137	177.716	120.477	161.607	98.8267	109.314	89.0795	153.668	175.688
sp|P07947|YES_HUMAN	YES1	YES_HUMAN Tyrosine-protein kinase Yes	7	70	C	UR	8123.14	6296.04	7842.99	10411	7580.94	5853.06	14821	7234.84	10827.1	8889.24	9032.99
sp|P12931-2|SRC_HUMAN	SRC	SRC_HUMAN Isoform 2 of Proto-oncogene tyrosine-protein kinase Src	7	26	C	UR	668.376	594.746	2390.07	5512.22	2612.24	1792.52	3273.37	4373.52	3446.84	4375.41	3963.85
