Uniprot_Id,Gene_Symbol,Description,Group_ID,Set8 Peptides,Collapsed,Parsimony,SUM190PT,SUM44PE,UACC893,ZR-75-1 (repeat),ZR-75-30 (repeat),COV362,OVCAR3,OVCAR8,SKOV3,Old Bridge8,New Bridge8,Uniprot_Id_prefix
P55011,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,131,C,UR,118.72781307647423,362.35725162323797,102.56173544725154,137.9080334940325,612.5863714679144,83.90308370048118,201.33005210843305,59.451438985483534,67.43710919933898,122.02290076335878,139.3836930853886,P55011
O60341,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,1,155,C,UR,168.2116311931802,179.0933681892419,190.08185866996425,192.89270063551953,147.29109827492297,165.93706864163562,204.21217855947262,126.68324647671537,125.85322806517193,174.58967741935484,146.35726714343176,O60341
Q99453,PHOX2B,PHX2B_HUMAN Paired mesoderm homeobox protein 2B,3,1,C,UR,110.22684786016421,79.6645614752142,154.23184716561357,134.94232477348956,69.5329389432843,93.117413792066,147.4599101398462,176.5186847366681,148.52094822716924,38.8659,185.3757735223333,Q99453
P37108,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,61,C,UR,184.6066639250749,265.3530128238654,202.0491738365182,257.34880663711084,199.75864077404236,175.9597195061342,197.1524054268828,147.49960282409737,202.92619643549696,163.3055737704918,144.15985515800654,P37108
Q8N697,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,5,19,C,UR,211.9353293763479,125.97723677144093,116.22342485980325,142.343913306901,109.75223623441241,123.84098485839066,188.85124278625798,158.445918657645,207.47607983487276,310.03368421052636,262.97231734915437,Q8N697
Q9Y4H2,IRS2,IRS2_HUMAN Insulin receptor substrate 2,6,15,C,UR,40.01306141735909,44.71657916604116,28.066793520257537,45.29632554060845,53.380857023341335,82.83621231306384,366.67553720502457,134.01835254258856,97.38007615667209,75.848,63.636196875929585,Q9Y4H2
Q9NYV4,CDK12,CDK12_HUMAN Cyclin-dependent kinase 12,7,92,C,UR,129.07100153412307,105.7032236684981,505.2986431900255,119.78503953884817,111.5248247920812,153.7843724334473,155.69198401733894,174.52995976359506,172.2180981788634,190.78152173913045,228.77540076958903,Q9NYV4
A8MW92,PHF20L1,P20L1_HUMAN PHD finger protein 20-like protein 1,7,30,C,UR,84.66837179989496,99.03422219237636,113.71692759777476,102.67140170272641,573.7109528241525,253.8020663033246,136.39675838510175,150.6115666235713,115.83737738376794,141.42633333333333,138.82123081650772,A8MW92
P06241,FYN,FYN_HUMAN Tyrosine-protein kinase Fyn,7,1,C,UR,22.796592203714635,19.190999277979845,13.51919829358098,16.726482890365688,23.721218114882923,49.312328426447195,35.36158928705836,75.35960226144257,47.17299123154311,57.0781,28.940579427836532,P06241
P24941,CDK2,CDK2_HUMAN Cyclin-dependent kinase 2,7,61,C,UR,71.26777593554938,112.13502220839764,216.4176505510668,156.59742245486535,126.55302159852704,300.3585183787002,213.46182191444584,516.6301881021598,287.0565313300367,196.31967213114754,189.84334028917144,P24941
