Protein Id,Gene Symbol,Description,Group ID,Set3 Peptides,Set3~rq_126_sn_sum,Set3~rq_127n_sn_sum,Set3~rq_127c_sn_sum,Set3~rq_128n_sn_sum,Set3~rq_128c_sn_sum,Set3~rq_129n_sn_sum,Set3~rq_129c_sn_sum,Set3~rq_130n_sn_sum,Set3~rq_130c_sn_sum,Set3~rq_131_sn_sum
sp|P55011|S12A2_HUMAN,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,42,2676.89,2400.86,3219.85,1684.27,19767.4,3231.99,1695.05,4351.55,1587.71,2782.1
sp|Q76L83|ASXL2_HUMAN,ASXL2,ASXL2_HUMAN Putative Polycomb group protein ASXL2,1,6,321.881,299.04,343.656,350.345,555.381,423.288,448.124,479.367,251.054,455.221
sp|O60341|KDM1A_HUMAN,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,2,39,2747.83,3857.53,4032.34,3904.93,4127.3,3417.38,3305.41,4600.36,4255.2,3496.02
sp|O60248|SOX15_HUMAN,SOX15,SOX15_HUMAN Protein SOX-15,3,1,131.262,7.92208,296.349,11.0801,6.80968,10.2173,32.1097,0.0,12.9012,1002.72
sp|P37108|SRP14_HUMAN,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,14,1128.26,832.733,1292.81,1499.33,1188.31,1970.97,1374.82,1609.67,2561.85,1280.23
sp|Q96JP5|ZFP91_HUMAN,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,5,12,558.311,640.539,666.337,1116.37,371.56,1003.67,918.965,836.303,947.817,932.94
sp|Q8N697|S15A4_HUMAN,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,6,1,106.669,87.098,51.4136,77.9379,89.9982,86.7454,74.4911,48.3017,171.226,139.101
sp|Q9NQS7|INCE_HUMAN,INCENP,INCE_HUMAN Inner centromere protein,7,20,3372.01,3056.02,2301.09,3778.9,1777.91,1825.4,1555.06,3581.28,1743.39,3016.67
sp|Q9Y4H2|IRS2_HUMAN,IRS2,IRS2_HUMAN Insulin receptor substrate 2,8,1,45.5617,47.8936,30.1151,53.8489,33.6689,37.2981,59.8068,51.1949,93.8864,70.0972
sp|P36578|RL4_HUMAN,RPL4,RL4_HUMAN 60S ribosomal protein L4,9,67,8606.69,8196.05,7498.24,8930.56,8069.98,7380.92,7335.81,9162.16,10217.3,7489.64
sp|Q6SPF0|SAMD1_HUMAN,SAMD1,SAMD1_HUMAN Atherin,11,12,765.347,498.327,783.432,1103.16,464.959,743.316,545.026,420.82,707.849,676.557
sp|O76031|CLPX_HUMAN,CLPX,"CLPX_HUMAN ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",13,27,2217.46,2056.68,1872.55,3101.68,2795.24,2712.53,2602.02,3047.25,3271.54,3439.22
sp|O15265-2|ATX7_HUMAN,ATXN7,ATX7_HUMAN Isoform b of Ataxin-7,14,4,329.09,360.34,326.682,338.68,403.311,574.793,511.411,569.331,448.002,533.103
sp|Q8WUQ7-2|CATIN_HUMAN,CACTIN,CATIN_HUMAN Isoform 2 of Cactin,15,12,782.036,1075.51,542.758,877.074,762.387,589.903,841.799,752.991,888.807,803.277
sp|A6NIH7|U119B_HUMAN,UNC119B,U119B_HUMAN Protein unc-119 homolog B,16,6,75.9715,201.825,131.578,112.047,289.789,182.739,149.403,124.116,463.84,123.331
sp|Q13432|U119A_HUMAN,UNC119,U119A_HUMAN Protein unc-119 homolog A,16,2,197.939,570.604,248.422,287.691,539.871,839.806,236.703,299.3,378.028,323.082
sp|Q9BTD8|RBM42_HUMAN,RBM42,RBM42_HUMAN RNA-binding protein 42,17,13,1218.22,1627.82,1939.39,2448.22,1153.59,1282.73,1850.68,2058.02,1889.4,1629.51
sp|Q9P258|RCC2_HUMAN,RCC2,RCC2_HUMAN Protein RCC2,18,51,2901.87,5519.07,10353.1,6054.4,2724.92,3621.45,4597.02,4886.75,8214.68,3902.16
sp|Q9H3U1|UN45A_HUMAN,UNC45A,UN45A_HUMAN Protein unc-45 homolog A,19,47,3019.98,3575.67,3987.75,5287.93,6412.29,4344.33,3970.28,3946.88,4835.52,4012.81
sp|Q9P2E5|CHPF2_HUMAN,CHPF2,CHPF2_HUMAN Chondroitin sulfate glucuronyltransferase,20,11,1629.41,939.153,701.656,3826.52,700.609,931.886,707.998,784.048,1241.51,1421.05
sp|Q99523|SORT_HUMAN,SORT1,SORT_HUMAN Sortilin,22,16,273.683,1831.93,1263.9,216.201,2640.49,2321.7,1546.3,2332.68,391.135,1687.64
