Protein Id,Gene Symbol,Description,Group ID,Set2 Peptides,Set2~rq_126_sn_sum,Set2~rq_127n_sn_sum,Set2~rq_127c_sn_sum,Set2~rq_128n_sn_sum,Set2~rq_128c_sn_sum,Set2~rq_129n_sn_sum,Set2~rq_129c_sn_sum,Set2~rq_130n_sn_sum,Set2~rq_130c_sn_sum,Set2~rq_131_sn_sum
sp|P55011|S12A2_HUMAN,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,43,2730.97,1338.08,14088.1,1252.02,6131.35,7532.76,4723.06,4799.9,1959.29,2556.17
sp|Q76L83|ASXL2_HUMAN,ASXL2,ASXL2_HUMAN Putative Polycomb group protein ASXL2,1,10,1060.91,577.622,678.218,260.499,151.892,910.638,692.65,729.171,493.361,729.534
sp|O60341|KDM1A_HUMAN,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,2,45,6003.09,2839.94,5551.24,3517.39,6828.37,5423.33,4584.34,4108.32,2738.56,4390.26
sp|O60248|SOX15_HUMAN,SOX15,SOX15_HUMAN Protein SOX-15,3,2,109.13,6.54685,195.176,24.1741,1.35036,54.3439,11.1208,1145.66,72.3945,641.359
sp|P37108|SRP14_HUMAN,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,24,2936.09,2519.56,2524.26,3813.8,3858.46,1699.7,3412.37,1318.04,2170.1,1722.04
sp|Q96JP5|ZFP91_HUMAN,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,5,9,606.14,443.07,522.651,571.254,589.901,654.716,457.017,505.788,502.279,530.705
sp|Q8N697|S15A4_HUMAN,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,6,5,368.833,354.349,334.735,285.003,465.606,531.624,639.551,1962.43,847.135,732.506
sp|Q9NQS7|INCE_HUMAN,INCENP,INCE_HUMAN Inner centromere protein,7,22,2213.31,1829.22,2434.52,3373.71,2812.11,4019.51,4032.82,3494.74,4334.9,2860.57
sp|Q9Y4H2|IRS2_HUMAN,IRS2,IRS2_HUMAN Insulin receptor substrate 2,8,4,52.497,186.352,65.6879,246.948,20.568,377.423,222.619,163.538,520.808,252.609
sp|P36578|RL4_HUMAN,RPL4,RL4_HUMAN 60S ribosomal protein L4,9,67,6274.14,9148.95,7768.98,9682.43,8804.59,9509.87,11058.5,7822.14,11983.4,8220.9
sp|Q6SPF0|SAMD1_HUMAN,SAMD1,SAMD1_HUMAN Atherin,11,10,1638.17,532.475,686.357,568.282,1207.4,910.401,665.383,655.429,373.55,793.661
sp|O60779|S19A2_HUMAN,SLC19A2,S19A2_HUMAN Thiamine transporter 1,12,1,24.4715,27.1108,36.1549,63.247,49.8122,48.9166,47.2902,24.9368,37.574,41.7379
