Uniprot_Id,Gene_Symbol,Description,Group_ID,Set7 Peptides,Collapsed,Parsimony,MCF12A,MGH312,MGH358,SUM185PE,184A-1,184B5,MCF10A (repeat 4),HCC1569,AU-565,MCF10A (repeat 5),Bridge7,Uniprot_Id_prefix
P55011,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,90,C,UR,96.41366215765022,43.920271115568866,335.4155515030465,318.5670770688258,98.35094211894756,93.95213854049233,205.1321502315119,41.431621708735086,54.22026540260467,218.38455814277071,94.45033333333335,P55011
Q99453,PHOX2B,PHX2B_HUMAN Paired mesoderm homeobox protein 2B,2,1,C,UR,106.96860092067094,63.593445540809284,305.7574507579196,298.8523728620124,338.56232646895296,304.03939810624564,482.74124607383726,51.59864777315489,534.9410450717016,643.267326097906,173.44,Q99453
P37108,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,3,32,C,UR,192.62468587107517,151.44674797775974,269.8542135881389,232.78962223841762,147.10844414284162,216.55577382839468,186.87713249820817,199.34437620471036,152.47988562100767,174.68880771715774,148.1025,P37108
Q96JP5,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,4,18,C,UR,130.68754981913912,98.70600177163053,88.16122190919934,74.69251583556466,107.25467676131811,118.90017157941072,83.19507274652722,118.44485122057678,93.9278208829418,84.61479894809932,87.45611111111111,Q96JP5
Q8N697,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,5,12,C,UR,110.73411598280187,60.25086099676949,46.597410892211784,59.59200796819868,161.3204093628474,186.7973575340327,208.25380192161975,24.340430351229163,39.476232194960566,187.14852696002777,82.47158333333333,Q8N697
Q9NYV4,CDK12,CDK12_HUMAN Cyclin-dependent kinase 12,6,66,C,UR,170.1064030477466,90.93019800015749,85.74440081651605,56.34046760387985,117.63063675833185,149.21526895209445,127.27884491875791,103.58762483062503,261.49752115857814,118.44516366100065,114.7951515151515,Q9NYV4
A8MW92,PHF20L1,P20L1_HUMAN PHD finger protein 20-like protein 1,6,23,C,UR,156.95798045843247,159.26900521451864,139.3310584260966,93.34797142109458,139.036437096116,108.19323150605997,145.5366463802054,257.1821111823709,100.8079853101225,163.3043920885863,113.69217391304348,A8MW92
P24941,CDK2,CDK2_HUMAN Cyclin-dependent kinase 2,6,37,C,UR,108.96112812233595,251.16593404243477,159.13867286064965,138.50454828950149,133.61165603491654,60.219246911520315,99.56887870329959,241.43747022474233,196.42116642869607,147.50762973598566,182.33486486486487,P24941
Q14004,CDK13,CDK13_HUMAN Cyclin-dependent kinase 13,6,75,C,UR,160.44330748146342,129.35651389942078,103.1734262405408,67.00629096059173,89.47608720127202,169.52131867395437,113.75652695087696,125.88113886275033,118.4211343766753,101.37227575999054,82.05346666666667,Q14004
P07947,YES1,YES_HUMAN Tyrosine-protein kinase Yes,6,53,C,UR,143.2900754121109,57.932932148824655,119.33924481917803,40.84555817028931,144.80858478961022,140.98599582390267,184.9085380385525,143.3001932519295,62.812207269358474,155.0802172201313,69.37584905660377,P07947
P12931-2,SRC,SRC_HUMAN Isoform 2 of Proto-oncogene tyrosine-protein kinase Src,6,36,C,UR,97.71832522617763,46.265021917803004,66.34102805478327,15.419794590509154,171.10688167024566,143.74777996071808,110.31227230891169,197.58221778619614,33.401523920502854,65.94698107049591,45.36833333333333,P12931
P50750-2,CDK9,CDK9_HUMAN Isoform 2 of Cyclin-dependent kinase 9,6,32,C,UR,133.71950030450992,62.18733712719945,146.69549992474785,91.05395747544938,124.98881320512739,143.34718206695933,113.31405310836296,96.10103153423272,114.81517420335648,140.49674078552394,69.493125,P50750
P07948,LYN,LYN_HUMAN Tyrosine-protein kinase Lyn,6,65,C,UR,320.3369174734863,13.166048973594263,30.659166468380054,16.166658769239508,136.9080759518043,166.2385507617816,188.99892046446703,162.3158200304076,22.283161534607448,201.58746772634055,59.04338461538462,P07948
P07948-2,LYN,LYN_HUMAN Isoform 2 of Tyrosine-protein kinase Lyn,6,3,C,UR,200.4469320781101,25.424559683376593,25.040882351062432,24.793077886451446,82.21468474285734,121.75852713260952,98.64005302009987,98.5717975152178,27.248566567375594,99.0346235245558,45.422666666666665,P07948
Q04912,MST1R,RON_HUMAN Macrophage-stimulating protein receptor,6,29,C,UR,27.68656675179086,78.56819796402242,40.320558840504965,131.77875087563783,239.9060240830164,172.91234356392093,207.37896663749908,28.14719498469643,69.58709426310836,158.2150225642738,57.70620689655173,Q04912
