Uniprot_Id,Gene_Symbol,Description,Group_ID,Set6 Peptides,Collapsed,Parsimony,ZR-75-30,HCC202,UACC-812,EVSA-T (repeat),SUM52PE,ZR-75-1,184A-1 (repeat),SUM229PE,MDA-MB-330,EFM-19 (repeat),Bridge6,Uniprot_Id_prefix
P55011,SLC12A2,S12A2_HUMAN Solute carrier family 12 member 2,0,32,C,UR,606.9350131917762,218.70770377024382,95.50908180202187,140.858579519305,357.7357845249699,134.33072604506756,140.84136896198254,147.32601316903884,289.09008803717694,114.99473051818228,212.9328125,P55011
O60341,KDM1A,KDM1A_HUMAN Lysine-specific histone demethylase 1A,1,77,C,UR,116.4643859324573,151.42855030530518,124.90826402187848,196.5847794074143,117.4425318927007,169.96262176438955,90.49049324060437,168.55072412539832,137.47926167898632,167.44858354004148,118.93181818181819,O60341
P37108,SRP14,SRP14_HUMAN Signal recognition particle 14 kDa protein,4,18,C,UR,209.11477727174022,75.93255417496697,161.54247787167262,154.332094191933,204.81313884172488,139.1153850964925,128.127264575898,189.04561396994572,173.86038772607063,264.65990913275556,174.54222222222222,P37108
Q96JP5,ZFP91,ZFP91_HUMAN E3 ubiquitin-protein ligase ZFP91,5,3,C,UR,54.11734083702597,70.7877035601615,49.0780565337313,92.2572791054556,86.45472960270375,49.47264137998261,103.48375592123033,92.17485560768709,56.264943614760796,81.14043874809185,71.24233333333333,Q96JP5
Q8N697,SLC15A4,S15A4_HUMAN Solute carrier family 15 member 4,6,6,C,UR,68.07581935583116,172.41379984926039,118.00385397539902,58.94118309622937,81.24309525034852,91.29359204975343,218.4524284558336,144.18024952309352,139.84323542525894,115.07651639987674,128.68516666666667,Q8N697
Q9Y4H2,IRS2,IRS2_HUMAN Insulin receptor substrate 2,7,1,C,UR,14.88237404142375,20.667946510261086,40.610254316104765,11.341377292035848,54.48959408473399,58.8070508872267,56.278551831427855,118.93155688215992,45.909780946253925,14.344222154813023,112.239,Q9Y4H2
Q9NYV4,CDK12,CDK12_HUMAN Cyclin-dependent kinase 12,8,40,C,UR,53.46204163612617,189.8728922998813,220.46292226906417,143.26282831374232,166.82875089237095,77.34933767520477,139.20878850475333,204.22583276680066,233.41685635751136,149.86304340378203,142.11875,Q9NYV4
A8MW92,PHF20L1,P20L1_HUMAN PHD finger protein 20-like protein 1,8,7,C,UR,791.4034495527487,203.76192391255273,130.70446532230727,87.30787042857925,260.6627390454094,128.0823877365339,195.2332888087777,139.82650287947462,153.9101264143292,154.1876602304789,200.9557142857143,A8MW92
P24941,CDK2,CDK2_HUMAN Cyclin-dependent kinase 2,8,29,C,UR,142.76863453560262,140.62369601831043,225.18665934428782,368.8538442780615,114.41619910140416,202.7653232346595,128.77747959133436,193.63724322394455,210.95752140898105,478.6650415684438,218.89448275862068,P24941
Q14004,CDK13,CDK13_HUMAN Cyclin-dependent kinase 13,8,35,C,UR,104.1522161708396,159.04979201525964,143.01917802028652,121.99168653669739,146.88969109865576,135.30520695962161,152.85631905897824,176.30096859876002,127.44176557153429,148.51884017893647,130.90314285714285,Q14004
P07947,YES1,YES_HUMAN Tyrosine-protein kinase Yes,8,42,C,UR,95.95834964707808,265.4985175780398,156.10217984658803,134.37219751362306,108.31411010982258,154.07658586775557,304.2316625770457,238.9142342471157,72.24742556707412,96.83994200378946,115.34976190476189,P07947
P12931-2,SRC,SRC_HUMAN Isoform 2 of Proto-oncogene tyrosine-protein kinase Src,8,20,C,UR,75.53501459885784,93.45980495324835,296.5358122136311,49.53929204087885,106.23211025960654,169.5813249578079,520.0574106395591,183.90049153001522,57.7668117668983,252.02840140945509,97.5115,P12931
P50750-2,CDK9,CDK9_HUMAN Isoform 2 of Cyclin-dependent kinase 9,8,15,C,UR,119.7171173839396,156.75721129479604,120.55088388000732,174.88081244228883,230.76929383995807,145.33209427761122,202.88039293258151,228.78925462765594,147.72078269435247,192.34801199511259,131.03533333333334,P50750
P07948,LYN,LYN_HUMAN Tyrosine-protein kinase Lyn,8,12,C,UR,19.75656444421681,25.664390235533936,99.6701846871561,30.22751923865305,34.48754828333343,65.12362162693937,690.1134373804113,637.8876519870958,45.38094265018633,29.727697663088765,209.00583333333336,P07948
Q04912,MST1R,RON_HUMAN Macrophage-stimulating protein receptor,8,15,C,UR,68.82777672465262,208.2541960462103,36.25353268595441,32.42164762609486,259.71887703936216,132.36132507242388,388.7479952325547,178.98522642430135,124.08355528941192,133.9769042164597,144.87666666666667,Q04912
P22455,FGFR4,FGFR4_HUMAN Fibroblast growth factor receptor 4,8,5,C,UR,92.25475387259962,99.99128482395706,49.5108164219233,495.0108079199629,90.04663273822882,81.1817841074762,33.89124201105815,74.54355932117402,228.81724714906807,43.45378747474033,39.7308,P22455
P08581,MET,MET_HUMAN Hepatocyte growth factor receptor,8,46,C,UR,15.985262044777203,40.604309149791746,22.15673302377182,57.234887005200584,30.668698883131984,29.050932758702753,561.6166631901326,942.8407043129146,47.4004590586265,23.216012218714315,195.57478260869567,P08581
P06493,CDK1,CDK1_HUMAN Cyclin-dependent kinase 1,8,46,C,UR,166.78484739529637,101.70760848700202,326.52787432823754,177.51444085730873,76.69029848639087,262.6624494298484,80.7562211581483,149.67446666730743,99.66386690146295,403.2659113645437,283.2565217391304,P06493
Q00535,CDK5,CDK5_HUMAN Cyclin-dependent kinase 5,8,12,C,UR,234.7510438536141,617.0025992722003,180.9881957270393,120.59264496519711,129.21362499763117,253.3458673625832,145.3382366566219,89.98759790566947,164.33083644071098,175.79078195048052,231.56833333333336,Q00535
P11802,CDK4,CDK4_HUMAN Cyclin-dependent kinase 4,8,10,C,UR,225.60511355751467,172.91753019145187,213.48461719058764,221.62126318046708,78.14870381503447,495.78953464859325,95.02994342131055,82.03790630027144,269.79516686086646,282.79634296601733,221.546,P11802
Q00534,CDK6,CDK6_HUMAN Cyclin-dependent kinase 6,8,14,C,UR,91.48914114611644,83.07919793758707,90.86579089637091,772.8822137263097,278.2687203573169,40.23331716321788,83.07100818376637,99.07804747225171,54.950818080048535,36.64462339710347,161.19857142857146,Q00534
P11362-21,FGFR1,FGFR1_HUMAN Isoform 21 of Fibroblast growth factor receptor 1,8,6,C,UR,50.409858576250116,43.14378015964893,44.76014217616336,92.09640709410102,491.432835574434,66.3972820947761,40.267154540257884,36.50258342569514,81.42611797538719,60.80306038728528,50.835499999999996,P11362
P21802-11,FGFR2,FGFR2_HUMAN Isoform 11 of Fibroblast growth factor receptor 2,8,21,C,UR,46.10671587366071,34.71538666607087,57.071000828737205,41.94385862584347,1278.6786660961068,48.11832865354425,41.64511857638201,47.16135705547524,53.614128493358315,99.38047498044129,42.13914285714286,P21802
P51451,BLK,BLK_HUMAN Tyrosine-protein kinase Blk,8,2,C,UR,92.73549969053579,67.47833288178342,40.79661223470919,31.69523586348355,130.38111116079315,131.85252099300573,17.301556760954696,12.104620994717198,134.8272709329793,133.44165884634393,54.4565,P51451
O94921,CDK14,CDK14_HUMAN Cyclin-dependent kinase 14,8,1,C,UR,36.34343603479771,80.53885692638153,34.36581136420382,116.18408846434463,199.94197007372384,35.04900983316958,38.61599786748112,41.888505510063915,82.29802691120575,31.04684932245736,33.446,O94921
Q00536-2,CDK16,CDK16_HUMAN Isoform 2 of Cyclin-dependent kinase 16,8,9,C,UR,122.75429359188665,357.2790701051329,143.91318479211176,105.58223593873223,82.83339787927885,175.58170410129082,67.02223585153882,78.6114377006111,455.92163204132015,111.37219156309949,126.58111111111111,Q00536
